sub_domain,topic_area,question,level,hints,model_prompt,row_id,,,
Risk & Compliance,AML Transaction Monitoring,How can we detect high-risk transaction clusters among politically exposed persons over a 90-day period?,4,"Include fields: customer_id, transaction_amount, country, watchlist_hits, and last_90_days_volume.","You are an AML analyst. Given transaction data (txn_id, txn_amount, country, customer_id, watchlist_hits, last_90_days_volume), produce a ranked Markdown table of top 10 high-risk alerts with columns: txn_id, risk_score (0.00–1.00), reason_summary, and suggested_next_step. Do NOT invent numeric values; list missing fields if required.",RISK_0001,,,
Risk & Compliance,KYC Onboarding,What automated checks should we implement to verify beneficial ownership structures for corporate clients during KYC onboarding?,3,"Consider entity_type, ownership_percentage, UBO_count, jurisdiction, and verification_method fields.","You are a KYC compliance officer. Given corporate client data (client_id, entity_type, ownership_chain, jurisdiction, UBO_details), generate a structured JSON output with sections: required_checks (list), risk_flags (array), verification_steps (ordered list), and compliance_status. Do NOT invent numeric values; list missing fields if required.",RISK_0002,,,
Risk & Compliance,Sanctions Screening,How do we reduce false positives in sanctions screening for customers with common names while maintaining regulatory compliance?,4,"Include name_matching_algorithm, fuzzy_score_threshold, additional_identifiers, and screening_frequency.","You are a sanctions screening analyst. Given customer records (customer_name, date_of_birth, address, nationality, ID_number) and screening results (match_score, watchlist_source, match_type), produce a prioritized table with columns: customer_id, match_score, false_positive_likelihood (low/medium/high), supporting_factors, and recommended_action. Do NOT invent numeric values; list missing fields if required.",RISK_0003,,,
Risk & Compliance,Model Risk Management,What validation steps are required to assess the accuracy and stability of our credit risk models before deployment?,5,"Reference model_type, validation_dataset, performance_metrics, backtesting_period, and governance_requirements.","You are a model validation specialist. Given model documentation (model_name, methodology, input_variables, training_period, performance_metrics), create a comprehensive validation checklist in Markdown format with sections: Data Quality Assessment, Methodology Review, Performance Testing, Stability Analysis, and Governance Compliance. Include specific tests for each section. Do NOT invent numeric values; list missing fields if required.",RISK_0004,,,
Risk & Compliance,Regulatory Reporting,How can we automate the generation of monthly COREP capital adequacy reports to ensure timely submission to regulators?,3,"Include capital_components, risk_weighted_assets, reporting_templates, calculation_formulas, and submission_deadline.","You are a regulatory reporting analyst. Given capital data (CET1_capital, AT1_capital, Tier2_capital, RWA_credit, RWA_market, RWA_operational), produce a structured report outline with sections: Executive Summary, Capital Ratios (table format), Risk Exposure Analysis, and Reconciliation Notes. Format as Markdown with clear tables. Do NOT invent numeric values; list missing fields if required.",RISK_0005,,,
Risk & Compliance,Fraud Risk Scoring,What features should we prioritize when building a real-time fraud detection model for online payment transactions?,4,"Consider transaction_velocity, device_fingerprint, geolocation_mismatch, amount_deviation, and merchant_category.","You are a fraud analytics expert. Given transaction attributes (txn_amount, device_id, IP_location, customer_location, time_since_last_txn, merchant_type, account_age), generate a feature importance ranking table with columns: feature_name, importance_score (0-100), fraud_correlation, and implementation_priority. Include rationale for top 5 features. Do NOT invent numeric values; list missing fields if required.",RISK_0006,,,
Risk & Compliance,Operational Risk Assessment,How do we quantify operational risk losses from cybersecurity incidents across different business units?,5,"Include incident_type, severity_level, financial_impact, affected_systems, and recovery_time.","You are an operational risk manager. Given incident data (incident_id, incident_category, business_unit, direct_loss, indirect_loss, downtime_hours, affected_customers), create a summary report in JSON format with sections: total_losses_by_category, top_risk_business_units, severity_distribution, and mitigation_recommendations. Do NOT invent numeric values; list missing fields if required.",RISK_0007,,,
Risk & Compliance,Credit Risk Analytics,What early warning indicators should we monitor to predict potential defaults in our SME loan portfolio?,3,"Reference payment_history, days_past_due, credit_utilization, revenue_trends, and industry_sector.","You are a credit risk analyst. Given SME customer data (customer_id, loan_balance, payment_status, DPD_current, DPD_max_12m, revenue_growth, industry, credit_score), produce a risk dashboard table with columns: customer_id, early_warning_score (0-100), key_risk_factors (list), trend_direction, and recommended_action. Do NOT invent numeric values; list missing fields if required.",RISK_0008,,,
Risk & Compliance,Market Conduct Surveillance,How can we identify potential market manipulation patterns in trading activities across multiple asset classes?,5,"Include trade_volume, price_movement, order_cancellation_ratio, timing_patterns, and cross_market_correlation.","You are a market surveillance officer. Given trading data (trader_id, asset_type, trade_time, order_volume, execution_price, cancellation_count, market_impact), generate a surveillance alert report with sections: Potential Manipulation Patterns (table), Supporting Evidence, Regulatory Implications, and Investigation Priority (high/medium/low). Do NOT invent numeric values; list missing fields if required.",RISK_0009,,,
Risk & Compliance,Third-Party Risk Management,What due diligence criteria should we use to assess cybersecurity risks when onboarding new technology vendors?,3,"Consider vendor_criticality, data_access_level, security_certifications, incident_history, and contract_terms.","You are a third-party risk assessor. Given vendor information (vendor_name, service_category, data_classification, security_framework, certification_status, breach_history), create a risk assessment matrix in table format with columns: risk_category, inherent_risk (low/medium/high/critical), control_effectiveness, residual_risk, and mitigation_actions. Do NOT invent numeric values; list missing fields if required.",RISK_0010,,,
